,rank,lemma,freq,exp,obs,no_texts,dice,pos
1344,1344,consecro,10382,11.771,7,5,0.001,VBE
1345,1345,expedio,6866,7.785,7,7,0.001,VBE
1346,1346,inops,2223,2.52,5,5,0.001,QLF
1347,1347,superius,13980,15.85,8,7,0.001,ADV
1348,1348,felix,12386,14.043,8,8,0.001,QLF
1349,1349,pondus,8808,9.986,7,7,0.001,SUB
1350,1350,omnipotens,21192,24.027,10,10,0.001,QLF
1351,1351,comestus,79,0.09,5,4,0.001,SUB
1352,1352,assumptio,2285,2.591,5,5,0.001,SUB
1353,1353,moro,5526,6.265,6,6,0.001,VBE
1354,1354,forte1,8511,9.65,7,7,0.001,ADV
1355,1355,largitas,2553,2.895,5,5,0.001,SUB
1356,1356,solamen,585,0.663,5,5,0.001,SUB
1357,1357,concurro,2627,2.978,5,5,0.001,VBE
1358,1358,fulcio,3323,3.768,6,6,0.001,VBE
1359,1359,confero,22987,26.062,11,11,0.001,VBE
1360,1360,blandus,2676,3.034,5,5,0.001,QLF
1361,1361,uenatus,269,0.305,5,5,0.001,SUB
1362,1362,aduenio,9767,11.074,7,7,0.001,VBE
1363,1363,excipio,9151,10.375,7,7,0.001,VBE
1364,1364,carmen,3998,4.533,6,6,0.001,SUB
1365,1365,manes,8979,10.18,8,7,0.001,SUB
1366,1366,oblatus1,1331,1.509,5,5,0.001,SUB
1367,1367,creator,13641,15.466,8,6,0.001,SUB
1368,1368,ipse,14361,16.282,9,9,0.001,PRO
1369,1369,uas1,4153,4.709,6,6,0.001,SUB
1370,1370,uegeto,811,0.92,5,4,0.001,VBE
1371,1371,sopor,1326,1.503,5,5,0.001,SUB
1372,1372,gigno,18785,21.298,9,9,0.001,VBE
1373,1373,castrum,16516,18.725,9,9,0.001,SUB
1374,1374,persuadeo,4899,5.554,6,5,0.001,VBE
1375,1375,materia1,9616,10.902,7,7,0.001,SUB
1376,1376,poeta,2598,2.946,6,6,0.001,SUB
1377,1377,ecclesia,238902,270.86,62,52,0.001,SUB
1378,1378,tantopere,677,0.768,5,5,0.001,ADV
1379,1379,eger,2416,2.739,6,6,0.001,QLF
1380,1380,reparo,4951,5.613,6,6,0.001,VBE
1381,1381,erga,7883,8.938,7,7,0.001,PRE
1382,1382,ueneo,94595,107.249,31,26,0.001,VBE
1383,1383,excado,2409,2.731,5,5,0.001,VBE
1384,1384,peniteo,12692,14.39,8,7,0.001,VBE
1385,1385,affluo,1129,1.28,5,5,0.001,VBE
1386,1386,liquido,1410,1.599,5,5,0.001,ADV
1387,1387,detractio,1536,1.742,5,5,0.001,SUB
1388,1388,sabbata,1681,1.906,5,5,0.001,SUB
1389,1389,permisceo,1445,1.638,5,5,0.001,VBE
1390,1390,sudo,1152,1.306,5,5,0.001,VBE
1391,1391,supersum,5014,5.685,6,6,0.001,VBE
1392,1392,deficiens,419,0.475,5,5,0.001,QLF
1393,1393,presens,48281,54.74,17,16,0.001,QLF
1394,1394,pareo,5626,6.379,6,6,0.001,VBE
1395,1395,multiplex,5902,6.692,6,6,0.001,QLF
1396,1396,nascor,39443,44.719,16,16,0.001,VBE
1397,1397,legalis,2856,3.238,6,4,0.001,QLF
1398,1398,conditus1,846,0.959,5,5,0.001,QLF
1399,1399,etiamsi,5201,5.897,6,5,0.001,CON
1400,1400,sordidus,1767,2.003,5,4,0.001,QLF
1401,1401,alioqui,6124,6.943,6,6,0.001,ADV
1402,1402,struo,11052,12.53,8,8,0.001,VBE
1403,1403,dimitto,28315,32.103,11,11,0.001,VBE
1404,1404,exsequor,5038,5.712,6,6,0.001,VBE
1405,1405,hypocrita,2290,2.596,5,4,0.001,SUB
1406,1406,metus,5321,6.033,6,6,0.001,SUB
1407,1407,illic,14419,16.348,9,9,0.001,ADV
1408,1408,coago,4852,5.501,6,6,0.001,VBE
1409,1409,duritia,3304,3.746,6,6,0.001,SUB
1410,1410,6,15957,18.092,8,8,0.001,NUM
1411,1411,iucunditas,2709,3.071,6,6,0.001,SUB
1412,1412,acceptio,1645,1.865,5,5,0.001,SUB
1413,1413,multiplico,8698,9.862,7,7,0.001,VBE
1414,1414,erro1,7586,8.601,7,7,0.001,VBE
1415,1415,solitudo,5419,6.144,6,6,0.001,SUB
1416,1416,bis,5161,5.851,6,6,0.001,NUM
1417,1417,peccatum,130132,147.54,40,33,0.001,SUB
1418,1418,congrego,14563,16.511,9,9,0.001,VBE
1419,1419,uiaticum,888,1.007,5,5,0.001,SUB
1420,1420,pergo,9717,11.017,8,6,0.001,VBE
1421,1421,studium,20961,23.765,11,11,0.001,SUB
1422,1422,subcutaneus,187,0.212,5,5,0.001,QLF
1423,1423,oblatio,8896,10.086,7,7,0.001,SUB
1424,1424,conuiua,537,0.609,5,4,0.001,SUB
1425,1425,sanctitas,15014,17.022,9,6,0.001,SUB
1426,1426,plane,7398,8.388,7,7,0.001,ADV
1427,1427,crassus1,895,1.015,5,5,0.001,QLF
1428,1428,cohibeo,2626,2.977,5,5,0.001,VBE
1429,1429,audio,107337,121.696,30,29,0.001,VBE
1430,1430,releuium,2512,2.848,6,5,0.001,SUB
1431,1431,tot,11369,12.89,7,7,0.001,ADV
1432,1432,primogenitus1,3725,4.223,6,6,0.001,QLF
1433,1433,ales,221,0.251,5,5,0.001,QLF
1434,1434,conuello,687,0.779,5,4,0.001,VBE
1435,1435,satias,259,0.294,5,5,0.001,SUB
1436,1436,milito1,4922,5.58,6,5,0.001,VBE
1437,1437,40,3150,3.571,6,5,0.001,NUM
1438,1438,mitis,4346,4.927,6,6,0.001,QLF
1439,1439,immolo,6750,7.653,6,6,0.001,VBE
1440,1440,redigo,5267,5.972,6,6,0.001,VBE
1441,1441,fletus,4716,5.347,6,6,0.001,SUB
1442,1442,admisceo,1192,1.352,5,5,0.001,VBE
1443,1443,spiritus,163219,185.053,42,38,0.001,SUB
1444,1444,uado2,8466,9.599,7,7,0.001,VBE
1445,1445,contagio2,1583,1.795,5,5,0.001,SUB
1446,1446,diligenter,14204,16.104,8,8,0.001,ADV
1447,1447,innocens,8050,9.127,7,7,0.001,QLF
1448,1448,puluis,6409,7.266,7,6,0.001,SUB
1449,1449,ceno,857,0.972,5,4,0.001,VBE
1450,1450,amor,36869,41.801,15,15,0.001,SUB
1451,1451,diu,15184,17.215,9,9,0.001,ADV
1452,1452,satis,18798,21.313,9,9,0.001,ADV
1453,1453,secessus,351,0.398,5,4,0.001,SUB
1454,1454,foris1,9760,11.066,8,8,0.001,ADV
1455,1455,parciter,194,0.22,5,4,0.001,ADV
1456,1456,specto,5151,5.84,6,5,0.001,VBE
1457,1457,hordeaceus,358,0.406,5,5,0.001,QLF
1458,1458,memoria,24310,27.562,10,10,0.001,SUB
1459,1459,feralis,419,0.475,5,4,0.001,QLF
1460,1460,iterum,29619,33.581,13,12,0.001,ADV
1461,1461,collido,786,0.891,5,5,0.001,VBE
1462,1462,effectum,6391,7.246,6,5,0.001,SUB
1463,1463,tantummodo,6614,7.499,7,7,0.001,ADV
1464,1464,singularis1,6987,7.922,7,7,0.001,QLF
1465,1465,prior,24097,27.321,10,8,0.001,SUB
1466,1466,uello,17922,20.319,10,10,0.001,VBE
1467,1467,candelabrum,2697,3.058,5,5,0.001,SUB
1468,1468,sub,68865,78.077,22,20,0.001,PRE
1469,1469,expleo,4138,4.692,6,6,0.001,VBE
1470,1470,plerique,4865,5.516,6,6,0.001,QLF
1471,1471,secularis1,13230,15,8,7,0.001,QLF
1472,1472,1000,7920,8.98,7,2,0.001,NUM
1473,1473,feria,6295,7.137,6,6,0.001,SUB
1474,1474,durateus,2524,2.862,6,6,0.001,QLF
1475,1475,testor,12870,14.592,8,8,0.001,VBE
1476,1476,primitiua,420,0.476,5,5,0.001,SUB
1477,1477,reputo,6633,7.52,6,5,0.001,VBE
1478,1478,biduum,768,0.871,5,4,0.001,SUB
1479,1479,iaceo,10581,11.996,8,8,0.001,VBE
1480,1480,aperio,22042,24.991,10,10,0.001,VBE
1481,1481,doctor,15863,17.985,9,9,0.001,SUB
1482,1482,oculus,53527,60.687,17,14,0.001,SUB
1483,1483,porus1,201,0.228,5,5,0.001,SUB
1484,1484,recedo,17337,19.656,9,9,0.001,VBE
1485,1485,debilis,2346,2.66,5,5,0.001,QLF
1486,1486,simplicitas,5356,6.073,6,6,0.001,SUB
1487,1487,incoctus1,27,0.031,5,5,0.001,QLF
1488,1488,primo,4690,5.317,6,5,0.001,ADV
1489,1489,lego2,42226,47.875,15,13,0.001,VBE
1490,1490,uenalis1,724,0.821,5,4,0.001,QLF
1491,1491,liberi,3274,3.712,6,6,0.001,SUB
1492,1492,desino,6807,7.718,7,7,0.001,VBE
1493,1493,uaco,9172,10.399,7,6,0.001,VBE
1494,1494,perennis,2439,2.765,6,6,0.001,QLF
1495,1495,psalmus,27996,31.741,11,10,0.001,SUB
1496,1496,contra2,73954,83.847,25,23,0.001,PRE
1497,1497,scutella,248,0.281,5,5,0.001,SUB
1498,1498,4,32768,37.151,13,13,0.001,NUM
1499,1499,tamdiu,2751,3.119,6,6,0.001,ADV
1500,1500,finitus,324,0.367,5,4,0.001,QLF
1501,1501,oro,29957,33.964,13,13,0.001,VBE
1502,1502,impertio,2426,2.751,6,6,0.001,VBE
1503,1503,refero,28774,32.623,12,12,0.001,VBE
1504,1504,concessus1,465,0.527,5,4,0.001,QLF
1505,1505,incrementum,3511,3.981,6,5,0.001,SUB
1506,1506,beneficium,15840,17.959,9,9,0.001,SUB
1507,1507,libertas,11621,13.176,7,6,0.001,SUB
1508,1508,pene,14190,16.088,8,8,0.001,ADV
1509,1509,expendo,2530,2.868,5,5,0.001,VBE
1510,1510,extendo,8783,9.958,7,7,0.001,VBE
1511,1511,uiuifico,7074,8.02,7,7,0.001,VBE
1512,1512,uoluntas,59039,66.937,21,20,0.001,SUB
1513,1513,draco,3734,4.234,6,4,0.001,SUB
1514,1514,duo,81919,92.877,26,24,0.001,NUM
1515,1515,ebrius,1367,1.55,5,5,0.001,QLF
1516,1516,potestas,45528,51.618,15,14,0.001,SUB
1517,1517,tandem,15269,17.312,8,8,0.001,ADV
1518,1518,langueo,1494,1.694,5,5,0.001,VBE
1519,1519,frugalis,54,0.061,5,5,0.001,QLF
1520,1520,lectulus,2360,2.676,5,5,0.001,SUB
1521,1521,solidamentum,59,0.067,5,5,0.001,SUB
1522,1522,affluens,711,0.806,5,5,0.001,QLF
1523,1523,splendidus,2410,2.732,5,5,0.001,QLF
1524,1524,ualde,15112,17.134,8,8,0.001,ADV
1525,1525,statuo,16296,18.476,9,9,0.001,VBE
1526,1526,rusticus1,1633,1.851,5,5,0.001,QLF
1527,1527,insolitus,790,0.896,5,5,0.001,QLF
1528,1528,uiuus,14571,16.52,9,9,0.001,QLF
1529,1529,duplex1,6056,6.866,7,6,0.001,QLF
1530,1530,mirus,13753,15.593,8,8,0.001,QLF
1531,1531,assiduus,2934,3.327,6,6,0.001,QLF
1532,1532,adeo1,10373,11.761,8,8,0.001,ADV
1533,1533,gens,55477,62.898,17,16,0.001,SUB
1534,1534,infundo,5396,6.118,6,6,0.001,VBE
1535,1535,celestia,4965,5.629,6,6,0.001,SUB
1536,1536,conuersa,2458,2.787,5,5,0.001,SUB
1537,1537,disto,3805,4.314,5,5,0,VBE
1538,1538,insuper1,7283,8.257,6,6,0,ADV
1539,1539,unda,3652,4.141,5,4,0,SUB
1540,1540,fallo,8692,9.855,5,5,0,VBE
1541,1541,mendacium,8211,9.309,6,6,0,SUB
1542,1542,ideoque,7826,8.873,5,5,0,ADV
1543,1543,polliceo,3876,4.395,5,4,0,VBE
1544,1544,auctor,21183,24.017,9,9,0,SUB
1545,1545,soror,10486,11.889,6,6,0,SUB
1546,1546,sponsum,6625,7.511,5,5,0,SUB
1547,1547,hereticus2,18337,20.79,8,8,0,SUB
1548,1548,mando1,16641,18.867,7,7,0,VBE
1549,1549,13,13676,15.506,6,6,0,NUM
1550,1550,utpote,4612,5.229,5,5,0,ADV
1551,1551,misericordia,44138,50.042,12,11,0,SUB
1552,1552,flamma,7581,8.595,6,4,0,SUB
1553,1553,lateo,8136,9.224,5,5,0,VBE
1554,1554,requiesco,9268,10.508,6,6,0,VBE
1555,1555,rigo,4060,4.603,5,5,0,VBE
1556,1556,dignosco,4287,4.861,5,5,0,VBE
1557,1557,stultus,9836,11.152,6,5,0,QLF
1558,1558,exspecto,9097,10.314,5,5,0,VBE
1559,1559,angela,9023,10.23,6,6,0,SUB
1560,1560,chorus1,6443,7.305,5,4,0,SUB
1561,1561,scandalum,5102,5.785,5,4,0,SUB
1562,1562,dogma,6197,7.026,5,5,0,SUB
1563,1563,custodio1,4688,5.315,5,5,0,VBE
1564,1564,par1,9682,10.977,6,6,0,QLF
1565,1565,res,106314,120.536,26,24,0,SUB
1566,1566,paulatim,3009,3.412,5,5,0,ADV
1567,1567,specialis1,4348,4.93,5,5,0,QLF
1568,1568,exprimo,12309,13.956,6,6,0,VBE
1569,1569,amo,19834,22.487,8,8,0,VBE
1570,1570,interficio,13543,15.355,6,6,0,VBE
1571,1571,circumcisio,6888,7.809,5,5,0,SUB
1572,1572,dumtaxat,3288,3.728,5,4,0,ADV
1573,1573,firmitas,3599,4.08,5,4,0,SUB
1574,1574,predicator,9142,10.365,6,6,0,SUB
1575,1575,confundo,9950,11.281,6,6,0,VBE
1576,1576,spiro,6117,6.935,5,4,0,VBE
1577,1577,ritus,3294,3.735,5,5,0,SUB
1578,1578,propheta,62844,71.251,15,13,0,SUB
1579,1579,nobilis,12997,14.736,7,5,0,QLF
1580,1580,malo,4655,5.278,5,5,0,VBE
1581,1581,inquiro,7337,8.319,5,5,0,VBE
1582,1582,queo,3952,4.481,5,4,0,VBE
1583,1583,superbia,17240,19.546,8,8,0,SUB
1584,1584,-,1669012,1892.278,352,227,0,NAM
1585,1585,supradictus,6688,7.583,5,5,0,QLF
1586,1586,cultus2,8125,9.212,5,5,0,SUB
1587,1587,cogitatio,20671,23.436,9,9,0,SUB
1588,1588,miro,11754,13.326,7,7,0,VBE
1589,1589,immitto,2821,3.198,5,3,0,VBE
1590,1590,rectus,36680,41.587,11,8,0,QLF
1591,1591,iuuo,5200,5.896,5,5,0,VBE
1592,1592,impendeo,3696,4.19,5,5,0,VBE
1593,1593,flos,7743,8.779,5,5,0,SUB
1594,1594,laudo,24696,28,9,9,0,VBE
1595,1595,fundo2,7384,8.372,6,6,0,VBE
1596,1596,admoneo,12850,14.569,6,5,0,VBE
1597,1597,robur,4296,4.871,5,5,0,SUB
1598,1598,considero,13120,14.875,7,7,0,VBE
1599,1599,nonus,8901,10.092,6,5,0,NUM
1600,1600,hactenus,6705,7.602,5,5,0,ADV
1601,1601,proximum,13293,15.071,7,5,0,SUB
1602,1602,contritio,3029,3.434,5,5,0,SUB
1603,1603,dispergo,3502,3.971,5,5,0,VBE
1604,1604,conuerro,5558,6.302,5,5,0,VBE
1605,1605,copulo,4056,4.599,5,5,0,VBE
1606,1606,cesso,13130,14.886,7,7,0,VBE
1607,1607,pius,29611,33.572,10,9,0,QLF
1608,1608,apto,2921,3.312,5,5,0,VBE
1609,1609,festino2,8072,9.152,5,5,0,VBE
1610,1610,deceo,8564,9.71,6,6,0,VBE
1611,1611,uenero,10633,12.055,6,6,0,VBE
1612,1612,maior,9450,10.714,6,6,0,SUB
1613,1613,heretica,3936,4.463,5,5,0,SUB
1614,1614,uoro,775,0.879,5,4,0,VBE
1615,1615,filius,249783,283.197,55,48,0,SUB
1616,1616,lapis,20490,23.231,7,5,0,SUB
1617,1617,preterea,9017,10.223,6,6,0,CON
1618,1618,priuo,7673,8.699,5,5,0,VBE
1619,1619,spina,4961,5.625,5,5,0,SUB
1620,1620,nomen,116016,131.536,27,22,0,SUB
1621,1621,sterilitas,1274,1.444,5,4,0,SUB
1622,1622,nuptie,7903,8.96,6,6,0,SUB
1623,1623,septimus1,10340,11.723,6,6,0,NUM
1624,1624,opto,8502,9.639,5,5,0,VBE
1625,1625,iustus,76907,87.195,21,18,0,QLF
1626,1626,simpliciter,4811,5.455,5,5,0,ADV
1627,1627,turpis,5621,6.373,5,4,0,QLF
1628,1628,hortor,8499,9.636,5,5,0,VBE
1629,1629,inuicem,14175,16.071,6,6,0,ADV
1630,1630,arbitror,10703,12.135,6,6,0,VBE
1631,1631,lachus,8017,9.089,5,5,0,SUB
1632,1632,prelatus2,3956,4.485,5,4,0,SUB
1633,1633,deduco,9154,10.379,6,6,0,VBE
1634,1634,probo,27137,30.767,9,8,0,VBE
1635,1635,lux,34269,38.853,10,8,0,SUB
1636,1636,mallus1,44023,49.912,14,13,0,SUB
1637,1637,sano,12938,14.669,6,6,0,VBE
1638,1638,ibidem,10590,12.007,6,6,0,ADV
1639,1639,regnum,72632,82.348,20,19,0,SUB
1640,1640,deinceps1,8574,9.721,6,6,0,ADV
1641,1641,lectum1,4589,5.203,5,5,0,SUB
1642,1642,depono,10936,12.399,6,5,0,VBE
1643,1643,eternitas,6420,7.279,5,4,0,SUB
1644,1644,nempe,4897,5.552,5,4,0,ADV
1645,1645,habitus,8438,9.567,6,6,0,SUB
1646,1646,dispenso,2935,3.328,5,5,0,VBE
1647,1647,superbus,11142,12.633,6,5,0,QLF
1648,1648,senex1,7953,9.017,6,6,0,SUB
1649,1649,misa,14465,16.4,6,6,0,SUB
1650,1650,taceo,12744,14.449,6,5,0,VBE
1651,1651,regula1,16510,18.719,8,7,0,SUB
1652,1652,frumentum,3849,4.364,5,5,0,SUB
1653,1653,beatus,98593,111.782,25,25,0,QLF
1654,1654,libenter,7640,8.662,5,5,0,ADV
1655,1655,nimium2,4450,5.045,5,5,0,ADV
1656,1656,purgo,8277,9.384,5,5,0,VBE
1657,1657,dispono,15115,17.137,7,7,0,VBE
1658,1658,qualiter,12080,13.696,7,7,0,CON
1659,1659,amplus,4128,4.68,5,5,0,QLF
1660,1660,appello1,25043,28.393,9,9,0,VBE
1661,1661,mereo2,11679,13.241,7,7,0,VBE
1662,1662,metuo,7099,8.049,5,5,0,VBE
1663,1663,ardeo,9114,10.333,5,5,0,VBE
1664,1664,remissio,8506,9.644,5,5,0,SUB
1665,1665,derelinquo,8134,9.222,6,6,0,VBE
1666,1666,turba1,11146,12.637,6,6,0,SUB
1667,1667,promptus2,4214,4.778,5,5,0,QLF
1668,1668,consolo,6661,7.552,5,5,0,VBE
1669,1669,uia,46939,53.218,13,11,0,SUB
1670,1670,digno,16516,18.725,8,8,0,VBE
1671,1671,unguentum,4456,5.052,5,5,0,SUB
1672,1672,quinque,15539,17.618,7,7,0,NUM
1673,1673,redemptio,7380,8.367,5,5,0,SUB
1674,1674,morum,4697,5.325,5,5,0,SUB
1675,1675,actus,14073,15.956,7,6,0,SUB
1676,1676,indico1,11027,12.502,6,6,0,VBE
1677,1677,uersus2,10470,11.871,6,4,0,SUB
1678,1678,perago,9714,11.014,6,5,0,VBE
1679,1679,conspectus2,14319,16.235,7,5,0,SUB
1680,1680,exigo,13444,15.242,6,6,0,VBE
1681,1681,subdo,14755,16.729,7,7,0,VBE
1682,1682,annus,97379,110.406,23,20,0,SUB
1683,1683,femen,7675,8.702,5,5,0,SUB
1684,1684,rapina1,3897,4.418,5,5,0,SUB
1685,1685,custodio2,18108,20.53,8,8,0,VBE
1686,1686,impossibilis,4880,5.533,5,5,0,QLF
1687,1687,accido1,7631,8.652,5,5,0,VBE
1688,1688,mox,17369,19.693,8,7,0,ADV
1689,1689,gener,13083,14.833,7,7,0,SUB
1690,1690,triumphus,3724,4.222,5,5,0,SUB
1691,1691,afficio,3957,4.486,5,5,0,VBE
1692,1692,malitia,12091,13.708,6,4,0,SUB
1693,1693,quattuor,25582,29.004,10,10,0,NUM
1694,1694,dolor,22230,25.204,9,9,0,SUB
1695,1695,supra1,16363,18.552,8,8,0,PRE
1696,1696,miraculum,7378,8.365,5,5,0,SUB
1697,1697,firmo,9903,11.228,6,6,0,VBE
1698,1698,participatio,2860,3.243,5,5,0,SUB
1699,1699,demonium,4075,4.62,5,3,0,SUB
1700,1700,benignus,7792,8.834,5,5,0,QLF
1701,1701,paulus,37901,42.971,11,11,0,QLF
1702,1702,penitens,3579,4.058,5,5,0,QLF
1703,1703,loquor,84792,96.135,21,20,0,VBE
1704,1704,prosterno,6430,7.29,5,5,0,VBE
1705,1705,perfectio,10816,12.263,6,6,0,SUB
1706,1706,prout,7058,8.002,5,4,0,CON
1707,1707,pignus,3514,3.984,5,5,0,SUB
1708,1708,intendo,12721,14.423,7,7,0,VBE
1709,1709,humilis,17138,19.431,8,8,0,QLF
1710,1710,offendo,8912,10.104,5,5,0,VBE
1711,1711,minister2,9179,10.407,6,6,0,SUB
1712,1712,figura,12553,14.232,7,6,0,SUB
1713,1713,ascendo,30932,35.07,11,11,0,VBE
1714,1714,iuxta1,44117,50.019,14,13,0,ADV
1715,1715,electus1,3812,4.322,5,3,0,QLF
1716,1716,breuis1,8932,10.127,6,6,0,QLF
1717,1717,calco,3481,3.947,5,5,0,VBE
1718,1718,excedo,6012,6.816,5,4,0,VBE
1719,1719,sabbatum,10431,11.826,6,5,0,SUB
1720,1720,mereo1,16029,18.173,6,6,0,VBE
1721,1721,abbas,45806,51.934,10,7,0,SUB
1722,1722,ordo,49198,55.779,12,11,0,SUB
1723,1723,presentia,16907,19.169,5,5,0,SUB
1724,1724,littera,41740,47.324,9,9,0,SUB
1725,1725,dictum,17050,19.331,6,6,0,SUB
1726,1726,interpretor,19071,21.622,6,6,0,VBE
1727,1727,operatio,11284,12.794,5,4,0,SUB
1728,1728,attendo,16271,18.448,6,6,0,VBE
1729,1729,pretereo,15610,17.698,5,4,0,VBE
1730,1730,quartus,20065,22.749,5,5,0,NUM
1731,1731,ignoro,17545,19.892,6,6,0,VBE
1732,1732,eicio,9306,10.551,5,5,0,VBE
1733,1733,timeo,34286,38.873,9,8,0,VBE
1734,1734,restituo,11869,13.457,5,3,0,VBE
1735,1735,longe,20319,23.037,5,5,0,ADV
1736,1736,dilectio,25310,28.696,6,6,0,SUB
1737,1737,pes,28406,32.206,7,7,0,SUB
1738,1738,mille,18571,21.055,5,5,0,NUM
1739,1739,compono,10493,11.897,5,4,0,VBE
1740,1740,confessio,18208,20.644,5,5,0,SUB
1741,1741,negotium,15043,17.055,5,5,0,SUB
1742,1742,habito,22489,25.497,6,5,0,VBE
1743,1743,scientia,26399,29.93,7,7,0,SUB
1744,1744,clamo,19858,22.514,5,5,0,VBE
1745,1745,commendo,17356,19.678,5,5,0,VBE
1746,1746,gloria,64235,72.828,12,12,0,SUB
1747,1747,o,28889,32.754,7,7,0,INT
1748,1748,patria,13916,15.778,5,5,0,SUB
1749,1749,consisto,10783,12.226,5,5,0,VBE
1750,1750,grauis,20476,23.215,5,5,0,QLF
1751,1751,uinco,19705,22.341,6,6,0,VBE
1752,1752,mandatum,21342,24.197,6,6,0,SUB
1753,1753,intellectus,15151,17.178,6,6,0,SUB
1754,1754,scribo1,95748,108.556,18,18,0,VBE
1755,1755,3,41232,46.748,9,8,0,NUM
1756,1756,coram2,22862,25.92,6,5,0,PRE
1757,1757,occasio,12072,13.687,5,5,0,SUB
1758,1758,merito1,17097,19.384,5,5,0,ADV
1759,1759,regio,11954,13.553,5,5,0,SUB
1760,1760,timor,26955,30.561,6,6,0,SUB
1761,1761,pascha,10463,11.863,5,4,0,SUB
1762,1762,bona,41041,46.531,10,9,0,SUB
1763,1763,supra2,15813,17.928,5,5,0,ADV
1764,1764,demonstro,16774,19.018,6,6,0,VBE
1765,1765,penitentia,33310,37.766,9,6,0,SUB
1766,1766,caput,46690,52.936,10,10,0,SUB
1767,1767,obtineo,16325,18.509,5,5,0,VBE
1768,1768,trinitas,18856,21.378,5,4,0,SUB
1769,1769,perduco,9480,10.748,5,5,0,VBE
1770,1770,iniquus1,11603,13.155,5,5,0,QLF
1771,1771,mare,36490,41.371,7,7,0,SUB
1772,1772,antiquus,20253,22.962,5,3,0,QLF
1773,1773,respondeo,44354,50.287,8,8,0,VBE
1774,1774,secundus,43007,48.76,9,7,0,NUM
1775,1775,saluator,22792,25.841,7,7,0,SUB
1776,1776,religio,17329,19.647,5,5,0,SUB
1777,1777,describo,9145,10.368,5,5,0,VBE
1778,1778,alibi,11764,13.338,5,5,0,ADV
1779,1779,publicus1,15816,17.932,6,5,0,QLF
1780,1780,uisio,13556,15.369,5,4,0,SUB
1781,1781,succedo,10355,11.74,5,5,0,VBE
1782,1782,precapio,13422,15.218,5,5,0,VBE
1783,1783,declino,9536,10.812,5,5,0,VBE
1784,1784,baptizo,20152,22.848,6,3,0,VBE
1785,1785,resurgo,17142,19.435,5,5,0,VBE
1786,1786,clericus2,24630,27.925,7,6,0,SUB
1787,1787,post1,10370,11.757,5,5,0,ADV
1788,1788,forma,24707,28.012,6,6,0,SUB
1789,1789,comprehendo,11409,12.935,5,4,0,VBE
1790,1790,partim,4210,4.773,5,3,0,ADV
1791,1791,induo,13999,15.872,5,5,0,VBE
1792,1792,propinquus1,12884,14.608,5,5,0,QLF
1793,1793,iniquitas,28538,32.356,7,7,0,SUB
1794,1794,liber1,47634,54.006,8,8,0,SUB
1795,1795,uox,54594,61.897,9,9,0,SUB
1796,1796,iudicium,65090,73.797,7,7,0,SUB
1797,1797,monasterium,42529,48.218,5,5,0,SUB
1798,1798,profero,20724,23.496,5,5,0,VBE
1799,1799,2,47734,54.119,6,5,0,NUM
1800,1800,signum,76045,86.218,9,5,0,SUB
1801,1801,procedo,22388,25.383,5,5,0,VBE
1802,1802,cognosco,56402,63.947,8,8,0,VBE
1803,1803,sententia,41242,46.759,6,5,0,SUB
1804,1804,princeps,47446,53.793,8,7,0,SUB
1805,1805,numerus,33051,37.472,6,6,0,SUB
1806,1806,rex,141582,160.522,19,15,0,SUB
1807,1807,catholicus,25919,29.386,5,5,0,QLF
1808,1808,facies,24061,27.28,5,5,0,SUB
1809,1809,persona,42475,48.157,5,5,0,SUB
1810,1810,donum,21729,24.636,5,5,0,SUB
1811,1811,urbs,33162,37.598,5,4,0,SUB
1812,1812,celebro,21027,23.84,5,5,0,VBE
1813,1813,honor,45202,51.249,7,6,0,SUB
1814,1814,domina,51239,58.093,6,6,0,SUB
1815,1815,ecclesiasticus1,23024,26.104,5,5,0,QLF
1816,1816,presbyter,31775,36.026,6,4,0,SUB
