"Source","Target","Weight"
"alimentum","esus","99.9108727573664"
"alimonia","esus","96.451855925857"
"daps","esus","100.177668725769"
"refectio","esus","88.3729720017754"
"epule","esus","97.5260687910713"
"esca","esus","83.9512009398325"
"uictus2","esus","97.6448411430452"
"alo","esus","107.059945298143"
"potus3","esus","93.260282682801"
"subsidium","esus","106.490391474445"
"comedo1","esus","102.64417798131"
"copia","esus","103.330526516543"
"delicia","esus","97.1387934802423"
"edulium","esus","80.6504172626587"
"pabulum","esus","95.0485418064161"
"panis","esus","89.7678683288076"
"potus2","esus","92.7917176755403"
"saturitas","esus","93.1553626887416"
"coquo","esus","98.6920873267195"
"elinguo","esus","165.729663942685"
"esurio1","esus","119.968374692143"
"holus","esus","101.437939216513"
"legumen","esus","108.514450220894"
"nutrimentum","esus","110.192460271845"
"pascua","esus","101.906330367088"
"pastus","esus","95.3736009431258"
"reficio","esus","112.736277798804"
"ruminor","esus","121.406384634067"
"cibus","pabulum","91.9936816961231"
"alimentum","pabulum","76.5075419291265"
"alimonia","pabulum","71.4511129064616"
"daps","pabulum","88.2701251078461"
"refectio","pabulum","85.8407609283511"
"epule","pabulum","83.3657372268011"
"esca","pabulum","91.895950389981"
"uictus2","pabulum","88.7561969493716"
"alo","pabulum","118.174347807423"
"potus3","pabulum","99.6839218589152"
"subsidium","pabulum","81.8660454592063"
"comedo1","pabulum","133.493124533775"
"copia","pabulum","87.2146425934074"
"delicia","pabulum","89.5796130228302"
"edulium","pabulum","96.0227326485603"
"esus","pabulum","95.0485418064161"
"panis","pabulum","96.275955795166"
"potus2","pabulum","99.2111255775009"
"saturitas","pabulum","119.416477985754"
"coquo","pabulum","129.019116268339"
"elinguo","pabulum","177.861502091468"
"esurio1","pabulum","133.944053980801"
"holus","pabulum","112.15749733241"
"legumen","pabulum","114.321108468905"
"nutrimentum","pabulum","97.6815932196734"
"pascua","pabulum","84.7542670937589"
"pastus","pabulum","71.0821704380966"
"reficio","pabulum","121.474007117402"
"ruminor","pabulum","135.995011593609"
"cibus","panis","87.2035527502036"
"alimentum","panis","97.8723308596323"
"alimonia","panis","100.080108380774"
"daps","panis","93.2647118336359"
"refectio","panis","91.9030685321691"
"epule","panis","93.492484216249"
"esca","panis","81.3457387573754"
"uictus2","panis","90.6408707718732"
"alo","panis","108.743301611828"
"potus3","panis","86.5894779858296"
"subsidium","panis","106.636583515793"
"comedo1","panis","107.633259059551"
"copia","panis","100.324804929676"
"delicia","panis","90.3875498899723"
"edulium","panis","92.568974748069"
"esus","panis","89.7678683288076"
"pabulum","panis","96.275955795166"
"potus2","panis","80.2753083863412"
"saturitas","panis","95.1783958918264"
"coquo","panis","104.947265917182"
"elinguo","panis","154.222025305481"
"esurio1","panis","107.357605012018"
"holus","panis","90.6321023535458"
"legumen","panis","95.5163704686776"
"nutrimentum","panis","118.779421937948"
"pascua","panis","102.626914283588"
"pastus","panis","98.2291370982781"
"reficio","panis","107.799561772553"
"ruminor","panis","115.948237456314"
"cibus","potus2","89.6413689231585"
"alimentum","potus2","93.0662226036652"
"alimonia","potus2","96.629690584856"
"daps","potus2","90.2864848443077"
"refectio","potus2","90.5317659521506"
"epule","potus2","89.0257644019823"
"esca","potus2","76.6397569704366"
"uictus2","potus2","100.132490577577"
"alo","potus2","111.578249516183"
"potus3","potus2","65.2902855844236"
"subsidium","potus2","102.002858792985"
"comedo1","potus2","114.90476987416"
"copia","potus2","94.6472449731585"
"delicia","potus2","92.4100998899968"
"edulium","potus2","91.4260805512367"
"esus","potus2","92.7917176755403"
"pabulum","potus2","99.2111255775009"
"panis","potus2","80.2753083863412"
"saturitas","potus2","97.9514509954976"
"coquo","potus2","107.556414373218"
"elinguo","potus2","160.51247377285"
"esurio1","potus2","112.901858672624"
"holus","potus2","103.246895855856"
"legumen","potus2","101.290135305631"
"nutrimentum","potus2","122.606923787889"
"pascua","potus2","108.089217554967"
"pastus","potus2","100.177533885352"
"reficio","potus2","107.483016253752"
"ruminor","potus2","119.203764206688"
"cibus","saturitas","107.94522420687"
"alimentum","saturitas","118.430621019406"
"alimonia","saturitas","117.655924595821"
"daps","saturitas","96.2835587695446"
"refectio","saturitas","99.2826762869019"
"epule","saturitas","105.374087894366"
"esca","saturitas","88.3530603028276"
"uictus2","saturitas","117.227483199233"
"alo","saturitas","89.2619143972257"
"potus3","saturitas","102.481504020307"
"subsidium","saturitas","120.752344716565"
"comedo1","saturitas","82.2467314738527"
"copia","saturitas","114.755078372075"
"delicia","saturitas","98.6728248775541"
"edulium","saturitas","83.9075514589101"
"esus","saturitas","93.1553626887416"
"pabulum","saturitas","119.416477985754"
"panis","saturitas","95.1783958918264"
"potus2","saturitas","97.9514509954976"
"coquo","saturitas","78.2901933418001"
"elinguo","saturitas","150.435419822602"
"esurio1","saturitas","86.7687180622323"
"holus","saturitas","94.7067769465837"
"legumen","saturitas","109.246427785408"
"nutrimentum","saturitas","134.140342350573"
"pascua","saturitas","115.155844274399"
"pastus","saturitas","114.474436595321"
"reficio","saturitas","88.0916741751499"
"ruminor","saturitas","95.3974060354796"
"cibus","coquo","124.249109380914"
"alimentum","coquo","134.459534566345"
"alimonia","coquo","132.794460692221"
"daps","coquo","116.505487578877"
"refectio","coquo","119.064190131125"
"epule","coquo","126.35884992094"
"esca","coquo","107.742306365802"
"uictus2","coquo","127.143030064442"
"alo","coquo","89.9551673395845"
"potus3","coquo","106.872534514006"
"subsidium","coquo","131.457612690388"
"comedo1","coquo","73.5527842512807"
"copia","coquo","127.384997308673"
"delicia","coquo","122.208928417761"
"edulium","coquo","92.8581466777014"
"esus","coquo","98.6920873267195"
"pabulum","coquo","129.019116268339"
"panis","coquo","104.947265917182"
"potus2","coquo","107.556414373218"
"saturitas","coquo","78.2901933418001"
"elinguo","coquo","138.053153910531"
"esurio1","coquo","91.3293217331168"
"holus","coquo","89.9635554067692"
"legumen","coquo","99.5588532174288"
"nutrimentum","coquo","133.373508832881"
"pascua","coquo","117.697048104195"
"pastus","coquo","122.825858363753"
"reficio","coquo","95.6858641575999"
"ruminor","coquo","89.0990006544322"
"cibus","elinguo","197.026313074751"
"alimentum","elinguo","195.765961859109"
"alimonia","elinguo","192.639661147612"
"daps","elinguo","174.648504475261"
"refectio","elinguo","182.943617061445"
"epule","elinguo","182.911089194556"
"esca","elinguo","173.291665813239"
"uictus2","elinguo","154.659644784144"
"alo","elinguo","142.891411918854"
"potus3","elinguo","164.432243018654"
"subsidium","elinguo","165.629332305847"
"comedo1","elinguo","135.139730609134"
"copia","elinguo","162.33885810809"
"delicia","elinguo","168.284774789215"
"edulium","elinguo","164.394153841568"
"esus","elinguo","165.729663942685"
"pabulum","elinguo","177.861502091468"
"panis","elinguo","154.222025305481"
"potus2","elinguo","160.51247377285"
"saturitas","elinguo","150.435419822602"
"coquo","elinguo","138.053153910531"
"esurio1","elinguo","124.138390040295"
"holus","elinguo","142.905737016629"
"legumen","elinguo","134.983547819301"
"nutrimentum","elinguo","149.848988208685"
"pascua","elinguo","149.752075363337"
"pastus","elinguo","162.400529418708"
"reficio","elinguo","140.607418915267"
"ruminor","elinguo","121.73482055846"
"cibus","esurio1","130.037781304936"
"alimentum","esurio1","134.159300369176"
"alimonia","esurio1","134.719184528474"
"daps","esurio1","114.822082136337"
"refectio","esurio1","121.161672708207"
"epule","esurio1","125.991314602979"
"esca","esurio1","110.553989672349"
"uictus2","esurio1","121.244311555099"
"alo","esurio1","71.9210468506514"
"potus3","esurio1","115.368804260886"
"subsidium","esurio1","127.553466645964"
"comedo1","esurio1","77.4426131350112"
"copia","esurio1","127.647538786926"
"delicia","esurio1","120.781188549299"
"edulium","esurio1","108.354295953991"
"esus","esurio1","119.968374692143"
"pabulum","esurio1","133.944053980801"
"panis","esurio1","107.357605012018"
"potus2","esurio1","112.901858672624"
"saturitas","esurio1","86.7687180622323"
"coquo","esurio1","91.3293217331168"
"elinguo","esurio1","124.138390040295"
"holus","esurio1","96.2091157526333"
"legumen","esurio1","106.403035572759"
"nutrimentum","esurio1","139.375423535116"
"pascua","esurio1","121.646006017875"
"pastus","esurio1","123.313480098484"
"reficio","esurio1","73.7863543553194"
"ruminor","esurio1","70.0254820025516"
"cibus","holus","107.919065724534"
"alimentum","holus","117.034401828787"
"alimonia","holus","118.190266858425"
"daps","holus","100.257326194856"
"refectio","holus","110.054813882438"
"epule","holus","108.543949660801"
"esca","holus","103.502089560208"
"uictus2","holus","104.583715976085"
"alo","holus","92.5018574028084"
"potus3","holus","94.1354477795354"
"subsidium","holus","116.303059329021"
"comedo1","holus","92.2805817532716"
"copia","holus","107.880696090317"
"delicia","holus","106.738613236405"
"edulium","holus","94.5637910877645"
"esus","holus","101.437939216513"
"pabulum","holus","112.15749733241"
"panis","holus","90.6321023535458"
"potus2","holus","103.246895855856"
"saturitas","holus","94.7067769465837"
"coquo","holus","89.9635554067692"
"elinguo","holus","142.905737016629"
"esurio1","holus","96.2091157526333"
"legumen","holus","73.5848597821012"
"nutrimentum","holus","125.132800948421"
"pascua","holus","100.130336367464"
"pastus","holus","111.827232635719"
"reficio","holus","99.806884295744"
"ruminor","holus","97.7962005659209"
"cibus","legumen","115.660606821023"
"alimentum","legumen","115.61970914881"
"alimonia","legumen","117.207995131331"
"daps","legumen","105.635864224973"
"refectio","legumen","114.189213968236"
"epule","legumen","113.817709109976"
"esca","legumen","111.146366793992"
"uictus2","legumen","101.328416555948"
"alo","legumen","107.407863239214"
"potus3","legumen","88.7379451897243"
"subsidium","legumen","110.990274335758"
"comedo1","legumen","111.492726488453"
"copia","legumen","105.339773265543"
"delicia","legumen","111.001467263757"
"edulium","legumen","100.806526937088"
"esus","legumen","108.514450220894"
"pabulum","legumen","114.321108468905"
"panis","legumen","95.5163704686776"
"potus2","legumen","101.290135305631"
"saturitas","legumen","109.246427785408"
"coquo","legumen","99.5588532174288"
"elinguo","legumen","134.983547819301"
"esurio1","legumen","106.403035572759"
"holus","legumen","73.5848597821012"
"nutrimentum","legumen","122.071998783558"
"pascua","legumen","95.9863356364883"
"pastus","legumen","112.719696179929"
"reficio","legumen","111.097064177673"
"ruminor","legumen","108.963077393906"
"cibus","nutrimentum","141.636100908947"
"alimentum","nutrimentum","127.332948812715"
"alimonia","nutrimentum","122.264691506046"
"daps","nutrimentum","128.33858251111"
"refectio","nutrimentum","126.884717379603"
"epule","nutrimentum","129.252123780781"
"esca","nutrimentum","127.453562231471"
"uictus2","nutrimentum","108.380362350785"
"alo","nutrimentum","126.635623255472"
"potus3","nutrimentum","125.871541921821"
"subsidium","nutrimentum","107.515434080647"
"comedo1","nutrimentum","136.734434751767"
"copia","nutrimentum","109.274724776329"
"delicia","nutrimentum","116.66394666913"
"edulium","nutrimentum","124.069513035805"
"esus","nutrimentum","110.192460271845"
"pabulum","nutrimentum","97.6815932196734"
"panis","nutrimentum","118.779421937948"
"potus2","nutrimentum","122.606923787889"
"saturitas","nutrimentum","134.140342350573"
"coquo","nutrimentum","133.373508832881"
"elinguo","nutrimentum","149.848988208685"
"esurio1","nutrimentum","139.375423535116"
"holus","nutrimentum","125.132800948421"
"legumen","nutrimentum","122.071998783558"
"pascua","nutrimentum","98.595139386292"
"pastus","nutrimentum","93.6293809550114"
"reficio","nutrimentum","132.096756312476"
"ruminor","nutrimentum","134.865725785424"
"cibus","pascua","116.20751866604"
"alimentum","pascua","108.367307161303"
"alimonia","pascua","104.438755933767"
"daps","pascua","106.090174642166"
"refectio","pascua","106.233919506166"
"epule","pascua","100.346308131163"
"esca","pascua","108.114503187442"
"uictus2","pascua","96.9479478519774"
"alo","pascua","108.493021600169"
"potus3","pascua","104.116857177001"
"subsidium","pascua","95.5058592588713"
"comedo1","pascua","120.386981315975"
"copia","pascua","94.512827648798"
"delicia","pascua","95.1358343848898"
"edulium","pascua","101.835202499168"
"esus","pascua","101.906330367088"
"pabulum","pascua","84.7542670937589"
"panis","pascua","102.626914283588"
"potus2","pascua","108.089217554967"
"saturitas","pascua","115.155844274399"
"coquo","pascua","117.697048104195"
"elinguo","pascua","149.752075363337"
"esurio1","pascua","121.646006017875"
"holus","pascua","100.130336367464"
"legumen","pascua","95.9863356364883"
"nutrimentum","pascua","98.595139386292"
"pastus","pascua","79.7914269019484"
"reficio","pascua","114.799326780338"
"ruminor","pascua","119.949939110048"
"cibus","pastus","100.689210133278"
"alimentum","pastus","92.2671980137218"
"alimonia","pastus","90.3662245972642"
"daps","pastus","97.4916381368733"
"refectio","pastus","92.0331027977811"
"epule","pastus","93.120038555412"
"esca","pastus","91.6093971105917"
"uictus2","pastus","86.3333271969936"
"alo","pastus","105.717447888542"
"potus3","pastus","100.453192128783"
"subsidium","pastus","90.0984399081107"
"comedo1","pastus","124.300145756549"
"copia","pastus","95.5390856363754"
"delicia","pastus","91.5186246144993"
"edulium","pastus","100.442743984307"
"esus","pastus","95.3736009431258"
"pabulum","pastus","71.0821704380966"
"panis","pastus","98.2291370982781"
"potus2","pastus","100.177533885352"
"saturitas","pastus","114.474436595321"
"coquo","pastus","122.825858363753"
"elinguo","pastus","162.400529418708"
"esurio1","pastus","123.313480098484"
"holus","pastus","111.827232635719"
"legumen","pastus","112.719696179929"
"nutrimentum","pastus","93.6293809550114"
"pascua","pastus","79.7914269019484"
"reficio","pastus","111.482147010111"
"ruminor","pastus","128.338044506593"
"cibus","reficio","121.661528879321"
"alimentum","reficio","121.754419214477"
"alimonia","reficio","120.811407264125"
"daps","reficio","100.58419389082"
"refectio","reficio","104.105180386808"
"epule","reficio","112.679092885329"
"esca","reficio","102.794880322058"
"uictus2","reficio","117.299005294041"
"alo","reficio","68.9027029434168"
"potus3","reficio","109.380498577027"
"subsidium","reficio","114.932797352173"
"comedo1","reficio","82.1335293551727"
"copia","reficio","117.888924403942"
"delicia","reficio","108.593921685969"
"edulium","reficio","99.4329359756014"
"esus","reficio","112.736277798804"
"pabulum","reficio","121.474007117402"
"panis","reficio","107.799561772553"
"potus2","reficio","107.483016253752"
"saturitas","reficio","88.0916741751499"
"coquo","reficio","95.6858641575999"
"elinguo","reficio","140.607418915267"
"esurio1","reficio","73.7863543553194"
"holus","reficio","99.806884295744"
"legumen","reficio","111.097064177673"
"nutrimentum","reficio","132.096756312476"
"pascua","reficio","114.799326780338"
"pastus","reficio","111.482147010111"
"ruminor","reficio","78.03034081009"
"cibus","ruminor","140.922449203583"
"alimentum","ruminor","143.964543763909"
"alimonia","ruminor","143.370895117862"
"daps","ruminor","119.51880101205"
"refectio","ruminor","128.767687602355"
"epule","ruminor","133.197001349015"
"esca","ruminor","121.46839178258"
"uictus2","ruminor","130.739886394891"
"alo","ruminor","76.1980738234221"
"potus3","ruminor","120.049695316013"
"subsidium","ruminor","134.24092306136"
"comedo1","ruminor","78.3467416886012"
"copia","ruminor","133.132173099828"
"delicia","ruminor","127.593165462806"
"edulium","ruminor","110.620641133358"
"esus","ruminor","121.406384634067"
"pabulum","ruminor","135.995011593609"
"panis","ruminor","115.948237456314"
"potus2","ruminor","119.203764206688"
"saturitas","ruminor","95.3974060354796"
"coquo","ruminor","89.0990006544322"
"elinguo","ruminor","121.73482055846"
"esurio1","ruminor","70.0254820025516"
"holus","ruminor","97.7962005659209"
"legumen","ruminor","108.963077393906"
"nutrimentum","ruminor","134.865725785424"
"pascua","ruminor","119.949939110048"
"pastus","ruminor","128.338044506593"
"reficio","ruminor","78.03034081009"
