"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1	uinum	18420	31.869	1916	526	0.08
2	manduco1	14363	24.85	1621	498	0.074
3	comedo1	16281	28.168	1084	423	0.047
4	aqua	52979	91.661	1464	394	0.035
5	quinque	15539	26.885	857	263	0.034
6	frango	9131	15.798	624	328	0.032
7	uiuus	14571	25.21	660	301	0.03
8	quotidianus	4276	7.398	491	202	0.029
9	propositio	4111	7.113	397	199	0.024
10	fractio	531	0.919	296	144	0.019
11	panis	29670	51.333	584	173	0.019
12	esurio1	5315	9.196	338	211	0.019
13	saturo	2797	4.839	310	168	0.019
14	uesco	2712	4.692	308	177	0.019
15	solon	7727	13.369	354	214	0.019
16	hordeaceus	358	0.619	267	128	0.018
17	lacrima	14249	24.653	386	204	0.018
18	calix	8359	14.462	324	154	0.017
19	piscis	5037	8.715	267	115	0.015
20	angelus	45679	79.031	571	252	0.015
21	edo1	31632	54.728	464	265	0.015
22	subcinericius	275	0.476	221	96	0.015
23	species	24299	42.041	386	121	0.014
24	reficio	6506	11.256	253	144	0.014
25	do	144347	249.74	1219	467	0.014
26	celestis	42191	72.996	494	274	0.014
27	accipio	98697	170.759	854	340	0.013
28	offero	31610	54.69	409	221	0.013
29	azymus	1224	2.118	204	97	0.013
30	lapis	20490	35.45	324	139	0.013
31	celum	89967	155.655	751	280	0.013
32	septem	19545	33.816	311	122	0.012
33	benedico	22826	39.492	322	181	0.012
34	dedo	28766	49.769	357	166	0.012
35	cibus	19443	33.639	300	202	0.012
36	peniteo	12692	21.959	242	33	0.011
37	uiuo	64920	112.32	530	306	0.011
38	coquo	2088	3.613	175	122	0.011
39	cibo	834	1.443	165	108	0.011
40	pasco	11539	19.964	220	154	0.011
41	cinis	4429	7.663	179	107	0.01
42	uultus	10646	18.419	207	139	0.01
43	mensa	6674	11.547	188	116	0.01
44	peto	31265	54.093	311	170	0.01
45	sumo	20939	36.227	256	175	0.01
46	buccella	607	1.05	153	87	0.01
47	esuriens	1023	1.77	144	97	0.009
48	porrigo1	4154	7.187	151	106	0.009
49	uita	140717	243.459	757	342	0.009
50	iste2	118621	205.23	645	242	0.009
51	mille	18571	32.13	208	137	0.009
52	nox	32345	55.961	255	167	0.008
53	unus	180002	311.428	878	336	0.008
54	corpus	132600	229.416	661	267	0.008
55	tres	56314	97.431	340	152	0.008
56	de	670354	1159.802	2744	749	0.008
57	substantia	27702	47.928	221	87	0.008
58	fames	3873	6.701	125	85	0.007
59	duo	81919	141.731	415	184	0.007
60	saturitas	940	1.626	111	80	0.007
61	sacramentum	31108	53.821	219	123	0.007
62	caro2	101490	175.591	476	240	0.007
63	dies	162845	281.744	670	298	0.007
64	satio1	2441	4.223	110	79	0.007
65	bibo1	16597	28.715	157	105	0.007
66	altar	25562	44.226	185	108	0.007
67	libra	3266	5.651	110	34	0.007
68	ieiuno	5984	10.353	115	36	0.007
69	sal	4167	7.21	107	72	0.006
70	meus	230405	398.631	819	353	0.006
71	fio	110043	190.389	442	233	0.006
72	quotidie	12698	21.969	134	104	0.006
73	oblino	4131	7.147	105	67	0.006
74	refectio	3521	6.092	103	79	0.006
75	dolor	22230	38.461	162	88	0.006
76	manna	2628	4.547	101	66	0.006
77	domus	66731	115.454	295	152	0.006
78	hic1	73597	127.333	308	170	0.006
79	homo	277540	480.181	925	419	0.006
80	appono	6182	10.696	108	82	0.006
81	abundo	6781	11.732	105	76	0.006
82	et	3528590	6104.932	10333	1463	0.006
83	sacrificium	18332	31.717	140	84	0.006
84	esca	5691	9.846	103	68	0.006
85	oblatio	8896	15.391	111	81	0.006
86	descendo	24461	42.321	154	90	0.006
87	conficio	7037	12.175	102	83	0.006
88	duodecim	10277	17.781	121	63	0.006
89	paruulus1	6832	11.82	101	75	0.006
90	ego	352812	610.412	1051	403	0.006
91	comedus1	407	0.704	80	47	0.005
92	intinctus	139	0.241	79	50	0.005
93	potus2	4493	7.774	91	75	0.005
94	uerus	71537	123.769	264	130	0.005
95	lignum	17985	31.117	124	70	0.005
96	manes	8979	15.535	99	51	0.005
97	quotienscumque	1291	2.234	79	55	0.005
98	pauper	27406	47.416	147	101	0.005
99	confirmo	21849	37.802	129	102	0.005
100	sitis	2535	4.386	80	55	0.005
101	tamquam	41093	71.096	176	112	0.005
102	cum1	349681	604.995	930	415	0.005
103	:	1142524	1976.719	2856	760	0.005
104	tantum	49370	85.417	192	121	0.005
105	fermentum	2294	3.969	79	48	0.005
106	sudor	1769	3.061	75	60	0.005
107	discipula	10227	17.694	92	71	0.005
108	scilicet	62392	107.947	213	126	0.005
109	tuus	272397	471.283	718	326	0.005
110	spiritalis	37791	65.384	156	97	0.005
111	dominicus1	26625	46.065	129	100	0.005
112	eternus	70466	121.916	225	136	0.005
113	tingo	1968	3.405	71	50	0.005
114	significo	41677	72.107	162	100	0.005
115	quero	43924	75.994	165	114	0.005
116	forma	24707	42.746	123	50	0.005
117	nec	293863	508.422	732	360	0.005
118	noster	286686	496.005	718	309	0.005
119	numquid	17644	30.527	103	66	0.004
120	paucus	19110	33.063	109	71	0.004
121	emo	4598	7.955	76	45	0.004
122	mitto	65136	112.694	206	133	0.004
123	ex	310057	536.44	727	333	0.004
124	ille2	591707	1023.732	1334	513	0.004
125	indigeo	7378	12.765	77	59	0.004
126	primitia	2986	5.166	69	32	0.004
127	in	2232230	3862.056	4765	967	0.004
128	tortus1	414	0.716	63	26	0.004
129	saisio1	1855	3.209	64	56	0.004
130	azymum	826	1.429	62	42	0.004
131	sicut	195324	337.937	466	262	0.004
132	quia	442718	765.961	934	361	0.004
133	supersubstantialis	158	0.273	60	36	0.004
134	bonum	12295	21.272	84	62	0.004
135	non	1147160	1984.74	2280	713	0.004
136	christus	268028	463.724	580	250	0.004
137	tollo	14543	25.161	85	62	0.004
138	fragmentum	1050	1.817	58	40	0.004
139	enim	362284	626.8	755	352	0.004
140	doctrina	27151	46.975	109	69	0.004
141	qui2	2808818	4859.631	5452	1095	0.004
142	,	11231227	19431.524	21429	1875	0.004
143	?	292895	506.748	621	264	0.004
144	affero	11415	19.75	78	59	0.004
145	abundantia	4338	7.505	64	51	0.004
146	inquio	91323	158.001	230	161	0.004
147	;	739006	1278.579	1421	585	0.004
148	preter	15746	27.243	84	61	0.004
149	sanctifico	9873	17.082	73	52	0.004
150	pono	80938	140.034	202	135	0.004
151	feria	6295	10.891	67	23	0.004
152	super	123825	214.234	289	158	0.004
153	muto2	16202	28.032	86	42	0.004
154	uerbum	139243	240.909	301	188	0.004
155	accepto	7685	13.296	67	55	0.004
156	egeo	4709	8.147	63	47	0.004
157	uisibilis	7345	12.708	66	44	0.004
158	otiosus	3907	6.76	61	39	0.004
159	ibi	56194	97.223	159	104	0.004
160	hic3	824808	1427.028	1524	498	0.004
161	atque	262885	454.826	525	316	0.004
162	denarius2	3864	6.685	61	31	0.004
163	ergo1	175499	303.637	372	191	0.004
164	consecratio	4815	8.331	62	37	0.004
165	cibarius	163	0.282	52	32	0.004
166	intellectus	15151	26.213	80	48	0.004
167	mica	1357	2.348	55	40	0.004
168	sic	138107	238.944	296	200	0.004
169	clibanus	786	1.36	54	32	0.004
170	quadraginta	7166	12.398	65	32	0.004
171	donec	19050	32.959	86	66	0.004
172	sub	68865	119.146	171	89	0.004
173	occurro	12313	21.303	73	38	0.004
174	consecro	10382	17.962	68	49	0.003
175	nisi	122305	211.604	260	176	0.003
176	porto	17392	30.091	79	56	0.003
177	coram2	22862	39.554	89	51	0.003
178	deficio	17363	30.04	80	55	0.003
179	quando	67690	117.113	165	118	0.003
180	sacerdos	48324	83.607	132	110	0.003
181	habeo	300642	520.151	550	266	0.003
182	(	529486	916.082	930	420	0.003
183	suus	581957	1006.863	1008	474	0.003
184	terrenus	18094	31.305	78	63	0.003
185	ducenti	2183	3.777	53	27	0.003
186	sextus	9345	16.168	65	33	0.003
187	grana	1147	1.985	51	44	0.003
188	gratis	5057	8.749	58	39	0.003
189	semen	18552	32.097	80	62	0.003
190	polluo	5773	9.988	60	34	0.003
191	suauis	6568	11.364	59	54	0.003
192	nos	304182	526.276	547	284	0.003
193	farina	1195	2.068	51	42	0.003
194	pinguis	1633	2.825	50	25	0.003
195	is2	1392674	2409.512	2263	706	0.003
196	prius	35816	61.967	104	74	0.003
197	lac	5515	9.542	56	43	0.003
198	alo	2631	4.552	51	47	0.003
199	uestimentum	10047	17.383	64	43	0.003
200	sapor	2133	3.69	51	46	0.003
201	ubi	94102	162.809	196	128	0.003
202	sum	2675321	4628.663	4305	887	0.003
203	ut	805180	1393.069	1341	567	0.003
204	profero	20724	35.855	80	57	0.003
205	manus2	88480	153.082	185	128	0.003
206	benedictio	20024	34.644	77	63	0.003
207	desertum	8760	15.156	61	49	0.003
208	3	41232	71.337	109	76	0.003
209	sabbatum	10431	18.047	63	42	0.003
210	ministro	11944	20.665	65	59	0.003
211	lactuca	219	0.379	46	30	0.003
212	.	4457983	7712.907	6940	1149	0.003
213	agrestis	885	1.531	48	31	0.003
214	modicus	10176	17.606	61	43	0.003
215	caseum	420	0.727	45	28	0.003
216	luctus	3814	6.599	50	26	0.003
217	absconditus	2846	4.924	48	44	0.003
218	defero	12583	21.77	64	51	0.003
219	uidelicet	45878	79.375	113	84	0.003
220	sufficio	17441	30.175	70	49	0.003
221	gusto	4131	7.147	50	40	0.003
222	trado	34184	59.143	97	76	0.003
223	hebdomas	4614	7.983	52	35	0.003
224	turba1	11146	19.284	61	34	0.003
225	gratia2	121792	210.716	227	137	0.003
226	intellego	86740	150.072	174	112	0.003
227	ero	139198	240.831	247	161	0.003
228	amicus2	17576	30.409	71	55	0.003
229	mysterium	20548	35.551	73	58	0.003
230	autem	330357	571.562	522	270	0.003
231	contero	6574	11.374	51	34	0.003
232	ipse2	430181	744.271	633	353	0.003
233	dico3	638683	1105.007	920	389	0.003
234	efficio	15459	26.746	63	57	0.003
235	singulus	33353	57.705	89	64	0.003
236	firmamentum	4276	7.398	47	33	0.003
237	quot	4971	8.601	48	31	0.003
238	scriptura	42418	73.389	102	68	0.003
239	absque	18571	32.13	67	40	0.003
240	oliuum	11900	20.589	58	46	0.003
241	confractio	329	0.569	42	8	0.003
242	educo1	1813	3.137	43	28	0.003
243	integer	14067	24.338	60	52	0.003
244	pisciculus	229	0.396	40	32	0.003
245	uero1	174906	302.611	277	183	0.003
246	angelicus	5902	10.211	48	37	0.003
247	quicumque	43789	75.761	99	87	0.003
248	uel	295606	511.438	448	240	0.003
249	suauio	128	0.222	39	36	0.003
250	quattuor	25582	44.26	73	53	0.003
251	itaque	51962	89.901	105	75	0.003
252	communis	22690	39.257	67	52	0.003
253	dominus	420905	728.222	591	282	0.003
254	sed	527123	911.993	737	379	0.003
255	mensura	9724	16.824	52	33	0.003
256	pulmentum	484	0.837	39	25	0.003
257	sine	93975	162.589	165	119	0.003
258	corporalis	9285	16.064	50	37	0.003
259	commodum2	1108	1.917	40	29	0.003
260	quomodo	53351	92.304	109	83	0.003
261	antequam	12661	21.905	54	41	0.003
262	nam	125410	216.976	204	139	0.003
263	sanguis	45862	79.347	97	70	0.003
264	decem	12972	22.443	56	30	0.003
265	presto2	16807	29.078	58	49	0.003
266	hodie	14614	25.284	56	49	0.003
267	remaneo	13153	22.756	54	41	0.003
268	calidus	2552	4.415	40	24	0.003
269	tribuo	16445	28.452	57	50	0.003
270	miraculum	7378	12.765	46	14	0.003
271	magnifico	4184	7.239	42	38	0.003
272	terra	142962	247.343	215	139	0.003
273	hostia	9869	17.075	50	41	0.003
274	4	32768	56.693	77	63	0.003
275	simila	522	0.903	39	24	0.003
276	postulo	14653	25.352	55	46	0.003
277	unde	119900	207.443	178	127	0.002
278	quidem	81625	141.222	131	99	0.002
279	canis	3513	6.078	40	35	0.002
280	aut	162695	281.484	231	145	0.002
281	conforto	4967	8.594	41	35	0.002
282	preparo	14420	24.949	53	44	0.002
283	fermentatum	302	0.523	36	30	0.002
284	cena	4029	6.971	41	31	0.002
285	filius	249783	432.158	330	170	0.002
286	quasi	103417	178.925	157	119	0.002
287	iste1	15288	26.45	55	44	0.002
288	cum2	281771	487.502	378	222	0.002
289	solus1	52836	91.413	98	81	0.002
290	fermento	373	0.645	36	24	0.002
291	desum	14972	25.904	51	43	0.002
292	facio	382326	661.475	471	265	0.002
293	ago	83744	144.888	128	90	0.002
294	inops	2223	3.846	37	32	0.002
295	triticarius2	174	0.301	35	28	0.002
296	pera	532	0.92	35	26	0.002
297	dum	89104	154.162	136	106	0.002
298	interpretor	19071	32.995	55	38	0.002
299	quoque	82940	143.497	130	98	0.002
300	prebeo	14414	24.938	50	48	0.002
301	leuo1	6609	11.435	40	29	0.002
302	repleo	11236	19.44	46	32	0.002
303	legumen	507	0.877	33	24	0.002
304	post2	104923	181.531	149	111	0.002
305	uos	193048	333.999	249	138	0.002
306	uter2	643	1.113	34	19	0.002
307	pro	198734	343.836	257	173	0.002
308	uesper1	4730	8.184	37	27	0.002
309	siccus	2007	3.472	36	28	0.002
310	6	15957	27.608	50	44	0.002
311	mensis	22769	39.393	55	38	0.002
312	ideo	64375	111.377	97	73	0.002
313	edulium	409	0.708	31	29	0.002
314	sacer	37335	64.595	72	61	0.002
315	cognosco	56402	97.583	94	67	0.002
316	offerens	1520	2.63	32	30	0.002
317	alius	245108	424.07	289	176	0.002
318	frumentum	3849	6.659	35	32	0.002
319	multus	108614	187.917	149	113	0.002
320	per	455848	788.678	512	272	0.002
321	nouus	49529	85.692	87	59	0.002
322	nutrio	6819	11.798	39	38	0.002
323	opero	29460	50.97	61	42	0.002
324	tertius	45355	78.47	77	42	0.002
325	primum	25972	44.935	58	41	0.002
326	superpono	1600	2.768	33	24	0.002
327	paruulus2	6398	11.069	37	34	0.002
328	distribuo	4243	7.341	34	28	0.002
329	sustento	3408	5.896	33	30	0.002
330	quoniam	82315	142.416	114	91	0.002
331	amplio	1166	2.017	31	26	0.002
332	uerto	9199	15.916	39	33	0.002
333	siue	95295	164.873	129	86	0.002
334	annus	97379	168.479	128	54	0.002
335	asinus	2782	4.813	33	24	0.002
336	benedictus	10693	18.5	42	30	0.002
337	ita	137694	238.229	170	121	0.002
338	dico1	82229	142.267	110	88	0.002
339	labor2	29034	50.233	60	54	0.002
340	quadragesimus	4986	8.626	35	23	0.002
341	pondus	8808	15.239	39	32	0.002
342	uoco	56415	97.606	85	65	0.002
343	cor	132902	229.938	162	113	0.002
344	ieiunium	12078	20.897	42	34	0.002
345	possum	320535	554.568	338	210	0.002
346	ante2	60876	105.324	88	72	0.002
347	consumo	8635	14.94	36	34	0.002
348	phariseus	6484	11.218	34	25	0.002
349	caritas	55447	95.931	82	65	0.002
350	mysticus	6676	11.55	34	25	0.002
351	plenus	29149	50.432	56	35	0.002
352	immaculatus1	3450	5.969	31	23	0.002
353	quam	243023	420.462	258	185	0.002
354	fero	34928	60.43	61	53	0.002
355	dulcis	11566	20.011	40	37	0.002
356	pluo	2099	3.632	30	21	0.002
357	frux	2613	4.521	30	22	0.002
358	quippe	37138	64.254	62	46	0.002
359	loco2	2232	3.862	30	15	0.002
360	iam	119877	207.403	143	110	0.002
361	ad	828160	1432.828	831	423	0.002
362	debeo	117250	202.858	140	98	0.002
363	frustum	418	0.723	29	21	0.002
364	pisca	1171	2.026	29	25	0.002
365	)	529289	915.741	520	276	0.002
366	indignus	10887	18.836	39	34	0.002
367	creatura	20823	36.027	48	31	0.002
368	conspergo	686	1.187	27	11	0.002
369	fractus1	1388	2.401	28	22	0.002
370	se	402862	697.005	391	257	0.002
371	eucharistia1	1458	2.523	28	21	0.002
372	triticum	2643	4.573	29	27	0.002
373	purus	11396	19.717	37	30	0.002
374	quis	238193	412.106	239	155	0.002
375	utique	30745	53.193	54	40	0.002
376	101	658	1.138	28	24	0.002
377	semper	68051	117.737	88	64	0.002
378	idem2	204398	353.636	210	138	0.002
379	lachus	8017	13.871	33	31	0.002
380	silentium	8804	15.232	34	25	0.002
381	etiam	208628	360.954	219	163	0.002
382	lugeo	4392	7.599	30	23	0.002
383	longe	20319	35.155	44	35	0.002
384	semino	5525	9.559	31	30	0.002
385	solum1	51239	88.65	74	66	0.002
386	modius	2152	3.723	29	19	0.002
387	tribulatio	15286	26.447	41	35	0.002
388	propter	84438	146.089	104	83	0.002
389	figura	12553	21.718	38	29	0.002
390	edes	1976	3.419	28	16	0.002
391	uerum1	39573	68.467	62	48	0.002
392	hordeum	814	1.408	28	23	0.002
393	agnosco	18836	32.589	43	33	0.002
394	necessarius1	20431	35.348	46	36	0.002
395	inopia	3170	5.485	29	26	0.002
396	si	412256	713.258	403	245	0.002
397	paro1	20469	35.414	44	40	0.002
398	propono	15333	26.528	38	24	0.002
399	esus	1053	1.822	26	26	0.002
400	sancta	8821	15.262	33	28	0.002
401	oratio	42712	73.898	62	55	0.002
402	collyra	57	0.099	25	17	0.002
403	delicia	5819	10.068	31	31	0.002
404	inuenio	77817	134.634	91	72	0.002
405	agnos	4902	8.481	29	24	0.002
406	uix	11761	20.348	35	31	0.002
407	fastidio	1155	1.998	26	23	0.002
408	puluis	6409	11.088	30	18	0.002
409	quare	23297	40.307	45	35	0.002
410	pars	90103	155.89	100	71	0.002
411	solummodo	4621	7.995	29	24	0.002
412	pater	205243	355.098	205	135	0.002
413	participo	2596	4.491	27	25	0.002
414	prohibeo	17516	30.305	39	37	0.002
415	fragmen	265	0.459	25	22	0.002
416	fugio	20695	35.805	44	23	0.002
417	deinde	26627	46.068	48	40	0.002
418	sitio	6675	11.549	31	29	0.002
419	40	3150	5.45	28	10	0.002
420	potus3	1427	2.469	26	22	0.002
421	aio	92049	159.257	106	82	0.002
422	alimentum	2548	4.408	27	26	0.002
423	quod	275741	477.069	267	177	0.002
424	unitas	17026	29.457	42	31	0.002
425	angustia	6166	10.668	31	26	0.002
426	bene	36928	63.89	57	45	0.002
427	deus	680334	1177.069	586	287	0.002
428	ignis	40816	70.617	59	48	0.002
429	anima	116733	201.964	126	92	0.002
430	uelut2	26523	45.888	49	40	0.002
431	mel	5131	8.877	30	21	0.002
432	communico	8288	14.339	32	29	0.002
433	nunc	76929	133.098	90	71	0.002
434	uictus2	3001	5.192	27	27	0.002
435	facies	24061	41.629	45	30	0.002
436	uideo	260745	451.124	237	161	0.002
437	quartus	20065	34.715	41	29	0.002
438	uenter	8772	15.177	30	24	0.002
439	tamen	133441	230.871	134	111	0.002
440	uncia	881	1.524	24	15	0.002
441	populus1	96120	166.3	99	84	0.002
442	alimonia	978	1.692	24	22	0.002
443	puer	20638	35.707	40	34	0.002
444	sero3	822	1.422	24	23	0.002
445	iubeo	33585	58.107	50	45	0.002
446	11	16278	28.163	37	32	0.002
447	desidero	17785	30.77	37	34	0.002
448	uiginti	7715	13.348	29	18	0.002
449	sanctus1	286481	495.65	257	183	0.002
450	fortitudo	14975	25.909	36	29	0.002
451	mendacium	8211	14.206	30	21	0.002
452	holus	1270	2.197	25	21	0.002
453	oleatus	35	0.061	22	14	0.002
454	signo	11479	19.86	30	24	0.002
455	apostolus	110647	191.434	105	79	0.002
456	ne2	136259	235.746	122	110	0.002
457	a	664089	1148.963	532	335	0.002
458	percipio	16328	28.25	34	33	0.002
459	fama	12017	20.791	31	29	0.002
460	liceo	23676	40.963	41	32	0.002
461	medius1	9797	16.95	29	24	0.002
462	modo2	56346	97.486	64	54	0.002
463	suauitas	5439	9.41	27	23	0.002
464	spiritaliter	6609	11.435	28	26	0.002
465	numquam	26674	46.15	43	38	0.002
466	propheta	62844	108.729	70	59	0.002
467	13	13676	23.661	33	31	0.002
468	assumo	22664	39.212	40	35	0.002
469	soleo	23970	41.471	40	34	0.002
470	diuido	16947	29.321	35	34	0.002
471	tu	287785	497.907	232	142	0.002
472	sporta	385	0.666	23	15	0.002
473	igitur	82223	142.257	86	61	0.002
474	pateo	14400	24.914	33	30	0.002
475	mundus1	20047	34.684	38	35	0.002
476	tum	88173	152.551	87	70	0.002
477	solidus1	1943	3.362	24	21	0.002
478	36	1712	2.962	23	23	0.002
479	item	38456	66.534	50	38	0.002
480	celebro	21027	36.38	38	34	0.002
481	126	375	0.649	22	19	0.002
482	querio	21994	38.053	39	38	0.002
483	abscondo	11859	20.518	32	26	0.002
484	uolo2	114425	197.971	111	87	0.002
485	alienus	25380	43.911	43	33	0.002
486	coruus	1345	2.327	24	23	0.002
487	proprius1	61683	106.72	63	53	0.001
488	supersum	5014	8.675	24	21	0.001
489	unusquisque	24422	42.253	37	30	0.001
490	postea	24716	42.762	38	35	0.001
491	aliquis	128304	221.983	108	90	0.001
492	letitia	10639	18.407	29	18	0.001
493	regnum	72632	125.663	72	46	0.001
494	robur	4296	7.433	26	16	0.001
495	occulo	2494	4.315	22	16	0.001
496	tantummodo	6614	11.443	26	25	0.001
497	diuinus1	86936	150.411	83	71	0.001
498	neco	24910	43.098	38	34	0.001
499	contentus1	2992	5.177	23	23	0.001
500	sacro	2304	3.986	22	11	0.001
501	communio2	12583	21.77	30	23	0.001
502	leuiticus	1420	2.457	21	19	0.001
503	erogo	2344	4.055	22	22	0.001
504	poculum	2380	4.118	23	19	0.001
505	omnis	516119	892.955	370	239	0.001
506	primus	80088	138.563	77	51	0.001
507	secundus	43007	74.408	52	31	0.001
508	paruus	34453	59.608	44	37	0.001
509	baculum	2470	4.273	22	14	0.001
510	hora	53825	93.124	59	54	0.001
511	solitudo	5419	9.376	25	20	0.001
512	utor	15865	27.449	33	30	0.001
513	aperio	22042	38.136	33	32	0.001
514	materia1	9616	16.637	25	17	0.001
515	usus	21101	36.508	33	28	0.001
516	precipio	19314	33.416	32	28	0.001
517	crux	31148	53.89	42	27	0.001
518	uer	4494	7.775	22	18	0.001
519	aliter	17625	30.494	33	23	0.001
520	multiplico	8698	15.049	24	20	0.001
521	-	1669012	2887.614	1103	442	0.001
522	ueneo	94595	163.662	82	64	0.001
523	scribo1	95748	165.657	80	61	0.001
524	aufero	25921	44.847	36	35	0.001
525	euangelicus	6676	11.55	24	20	0.001
526	conspectus2	14319	24.774	28	21	0.001
527	tot	11369	19.67	28	25	0.001
528	aliquando	22058	38.163	36	28	0.001
529	nonne	12149	21.019	27	20	0.001
530	simplex	12113	20.957	27	21	0.001
531	totus	103392	178.882	88	77	0.001
532	penuria	1445	2.5	21	17	0.001
533	designo	15649	27.075	31	24	0.001
534	uetus	20824	36.028	33	33	0.001
535	lego2	42226	73.057	46	44	0.001
536	accedo	23469	40.605	34	30	0.001
537	transeo	30676	53.074	39	33	0.001
538	at	20538	35.534	32	27	0.001
539	euangelium	41469	71.747	48	40	0.001
540	petra	13912	24.07	28	27	0.001
541	discipulus	20412	35.316	32	26	0.001
542	certe	18463	31.944	32	29	0.001
543	egenus	3088	5.343	22	20	0.001
544	siligineus	29	0.05	20	12	0.001
545	dimidium	2468	4.27	21	17	0.001
546	parum	5757	9.96	23	19	0.001
547	usque	86805	150.184	74	53	0.001
548	candidus	3951	6.836	21	19	0.001
549	solidum2	2557	4.424	20	16	0.001
550	sapientia	43276	74.873	42	38	0.001
551	sedeo	27175	47.016	34	27	0.001
552	communicatio	930	1.609	18	12	0.001
553	desino	6807	11.777	21	18	0.001
554	traditor	1525	2.639	19	13	0.001
555	conuerto	21948	37.973	32	22	0.001
556	inde	36394	62.967	43	35	0.001
557	fortasse	15289	26.452	27	26	0.001
558	interior	16106	27.866	27	25	0.001
559	postquam	18936	32.762	28	23	0.001
560	oporteo	27433	47.463	34	26	0.001
561	libenter	7640	13.218	22	19	0.001
562	desiderabilis	1856	3.211	19	15	0.001
563	!	28522	49.347	36	29	0.001
564	20	7499	12.974	22	8	0.001
565	sex	10446	18.073	24	23	0.001
